tab	demag_orient
sample_name	sample_orientation_flag	mag_azimuth	field_dip	bedding_dip_direction	bedding_dip	shadow_angle	lat	long	date	hhmm	GPS_baseline	GPS_Az
hz05a	g		nan				33.017	35.568				
hz05b	g		nan				33.017	35.568				
hz05c	g		nan				33.017	35.568				
hz05e	g		nan				33.017	35.568				
hz05f	g		nan				33.017	35.568				
hz05g	g		nan				33.017	35.568				
hz05h	g		nan				33.017	35.568				
hz06a	g		nan				33.017	35.568				
hz06b	g		nan				33.017	35.568				
hz06c	g		nan				33.017	35.568				
hz07a	g		nan				33.017	35.568				
hz07b	g		nan				33.017	35.568				
hz07c	g		nan				33.017	35.568				
hz07d	g		nan				33.017	35.568				
hz07e	g		nan				33.017	35.568				
hz09a	g		nan				33.017	35.568				
hz09b	g		nan				33.017	35.568				
hz10a	g		nan				33.017	35.568				
hz10b	g		nan				33.017	35.568				
hz10c	g		nan				33.017	35.568				
hz10d	g		nan				33.017	35.568				
hz11a	g		nan				33.017	35.568				
hz11b	g		nan				33.017	35.568				
hz11c	g		nan				33.017	35.568				
hz13a	g		nan				33.017	35.568				
hz13b	g		nan				33.017	35.568				
hz13c	g		nan				33.017	35.568				
hz13d	g		nan				33.017	35.568				
hz13e	g		nan				33.017	35.568				
hz13f	g		nan				33.017	35.568				
hz15a	g		nan				33.017	35.568				
hz15b	g		nan				33.017	35.568				
hz15c	g		nan				33.017	35.568				
hz18a	g		nan				33.017	35.568				
hz18b	g		nan				33.017	35.568				
hz18c	g		nan				33.017	35.568				
hz18d	g		nan				33.017	35.568				
hz18e	g		nan				33.017	35.568				
hz18f	g		nan				33.017	35.568				
hz20a	g		nan				33.017	35.568				
hz20b	g		nan				33.017	35.568				
hz20c	g		nan				33.017	35.568				
hz20d	g		nan				33.017	35.568				
hz20e	g		nan				33.017	35.568				
hz20f	g		nan				33.017	35.568				
mgf10a	g		nan				32.585	35.185				
mgf10b	g		nan				32.585	35.185				
mgf10c	g		nan				32.585	35.185				
mgf10d	g		nan				32.585	35.185				
mgf10e	g		nan				32.585	35.185				
mgf13a	g		nan				32.585	35.185				
mgf13b	g		nan				32.585	35.185				
mgf13c	g		nan				32.585	35.185				
mgf13d	g		nan				32.585	35.185				
mgf13e	g		nan				32.585	35.185				
mgf13f	g		nan				32.585	35.185				
mgh03a	g		nan				32.585	35.185				
mgh03b	g		nan				32.585	35.185				
mgh03c	g		nan				32.585	35.185				
mgh03d	g		nan				32.585	35.185				
mgh03e	g		nan				32.585	35.185				
mgh03f	g		nan				32.585	35.185				
mgh03g	g		nan				32.585	35.185				
mgh03h	g		nan				32.585	35.185				
mgh03i	g		nan				32.585	35.185				
mgh03j	g		nan				32.585	35.185				
mgh03k	g		nan				32.585	35.185				
mgh05a	g		nan				32.585	35.185				
mgh05b	g		nan				32.585	35.185				
mgh05c	g		nan				32.585	35.185				
mgh05d	g		nan				32.585	35.185				
mgh05e	g		nan				32.585	35.185				
mgh05f	g		nan				32.585	35.185				
mgh07a	g		nan				32.585	35.185				
mgh07b	g		nan				32.585	35.185				
mgh07c	g		nan				32.585	35.185				
mgh07d	g		nan				32.585	35.185				
mgh07e	g		nan				32.585	35.185				
mgh09b	g		nan				32.585	35.185				
mgh09c	g		nan				32.585	35.185				
mgh09e	g		nan				32.585	35.185				
mgh09f	g		nan				32.585	35.185				
mgh09g	g		nan				32.585	35.185				
mgh09h	g		nan				32.585	35.185				
mgh09i	g		nan				32.585	35.185				
mgh09j	g		nan				32.585	35.185				
mgh09k	g		nan				32.585	35.185				
mgh09l	g		nan				32.585	35.185				
mgh09m	g		nan				32.585	35.185				
mgh09n	g		nan				32.585	35.185				
mgh09o	g		nan				32.585	35.185				
mgh09p	g		nan				32.585	35.185				
mgh09q	g		nan				32.585	35.185				
mgh12t101	g		0.0				32.585	35.185				
mgh12t102	g		0.0				32.585	35.185				
mgh12t1PI	g		nan				32.585	35.185				
mgh12t1a1	g		0.0				32.585	35.185				
mgh12t1b1	g		0.0				32.585	35.185				
mgh12t1c1	g		0.0				32.585	35.185				
mgh12t1d1	g		0.0				32.585	35.185				
mgh12t1e1	g		0.0				32.585	35.185				
mgh12t1f1	g		0.0				32.585	35.185				
mgh12t1g1	g		0.0				32.585	35.185				
mgh12t1h1	g		0.0				32.585	35.185				
mgh12t1i1	g		0.0				32.585	35.185				
mgh12t1i2	g		0.0				32.585	35.185				
mgj04a	g		nan				32.585	35.185				
mgj04b	g		nan				32.585	35.185				
mgj04c	g		nan				32.585	35.185				
mgj04d	g		nan				32.585	35.185				
mgj04e	g		nan				32.585	35.185				
mgj06a	g		nan				32.585	35.185				
mgj06b	g		nan				32.585	35.185				
mgj06c	g		nan				32.585	35.185				
mgj06d	g		nan				32.585	35.185				
mgk06a	g		nan				32.585	35.185				
mgk06b	g		nan				32.585	35.185				
mgk06c	g		nan				32.585	35.185				
mgk06d	g		nan				32.585	35.185				
mgk08a	g		nan				32.585	35.185				
mgk08b	g		nan				32.585	35.185				
mgk08c	g		nan				32.585	35.185				
mgk08d	g		nan				32.585	35.185				
mgk08e	g		nan				32.585	35.185				
mgk09t1PI	g		nan				32.585	35.185				
mgk09t1a1	g		0.0				32.585	35.185				
mgk09t1a2	g		0.0				32.585	35.185				
mgk09t1b1	g		0.0				32.585	35.185				
mgk09t1b2	g		0.0				32.585	35.185				
