location_from,location_to,classification_from,classification_to,comment,skos_uri
2,AF,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
284,AX,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
3,AL,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
4,DZ,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
5,AS,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
6,AD,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
7,AO,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
258,AI,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
30,AQ,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
8,AG,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
9,AR,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
1,AM,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
22,AW,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
10,AU,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
11,AT,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
52,AZ,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
12,BS,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
13,BH,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
16,BD,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
14,BB,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
57,BY,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
255,BE,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
23,BZ,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
53,BJ,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
17,BM,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
18,BT,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
19,BO,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
278,BQ,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
80,BA,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
20,BW,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
31,BV,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
21,BR,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
24,IO,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
239,VG,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
26,BN,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
27,BG,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
233,BF,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
29,BI,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
35,CV,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
115,KH,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
32,CM,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
33,CA,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
36,KY,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
37,CF,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
39,TD,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
40,CL,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
351,CN,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
42,CX,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
43,CC,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
44,CO,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
45,KM,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
46,CG,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
47,CK,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
48,CR,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
107,CI,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
98,HR,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
49,CU,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
279,CW,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
50,CY,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
167,CZ,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
54,DK,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
72,DJ,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
55,DM,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
56,DO,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
250,CD,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
58,EC,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
59,EG,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
60,SV,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
61,GQ,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
178,ER,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
63,EE,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
209,SZ,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
238,ET,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
64,FO,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
65,FK,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
66,FJ,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
67,FI,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
68,FR,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
69,GF,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
70,PF,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
71,TF,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
74,GA,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
75,GM,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
73,GE,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
79,DE,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
81,GH,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
82,GI,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
84,GR,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
85,GL,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
86,GD,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
87,GP,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
88,GU,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
89,GT,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
90,GN,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
175,GW,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
91,GY,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
93,HT,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
92,HM,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
95,HN,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
96,HK,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
97,HU,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
99,IS,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
100,IN,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
101,ID,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
102,IR,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
103,IQ,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
104,IE,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
264,IM,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
105,IL,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
106,IT,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
109,JM,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
110,JP,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
283,JE,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
112,JO,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
108,KZ,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
114,KE,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
83,KI,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
118,KW,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
113,KG,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
120,LA,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
119,LV,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
121,LB,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
122,LS,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
123,LR,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
124,LY,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
125,LI,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
126,LT,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
256,LU,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
128,MO,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
154,MK,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
129,MG,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
130,MW,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
131,MY,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
132,MV,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
133,ML,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
134,MT,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
127,MH,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
135,MQ,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
136,MR,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
137,MU,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
270,YT,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
138,MX,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
145,FM,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
146,MD,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
140,MC,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
141,MN,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
273,ME,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
142,MS,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
143,MA,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
144,MZ,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
28,MM,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
147,NA,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
148,NR,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
149,NP,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
150,NL,faostat,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
