location_from,location_to,classification_from,classification_to,comment,skos_uri
AF,AF,bonsai,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AX,AX,bonsai,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AL,AL,bonsai,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
DZ,DZ,bonsai,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AS,AS,bonsai,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AD,AD,bonsai,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AO,AO,bonsai,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AI,AI,bonsai,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AQ,AQ,bonsai,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AG,AG,bonsai,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AR,AR,bonsai,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AM,AM,bonsai,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AW,AW,bonsai,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AU,AU,bonsai,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AT,AT,bonsai,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AZ,AZ,bonsai,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BS,BS,bonsai,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BH,BH,bonsai,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BD,BD,bonsai,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BB,BB,bonsai,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BY,BY,bonsai,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BE,BE,bonsai,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BZ,BZ,bonsai,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
