location_from,location_to,classification_from,classification_to,comment,skos_uri
Bangladesh,BD,adb,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
Bhutan,BT,adb,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
Brunei Darussalam,BN,adb,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
Cambodia,KH,adb,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
Fiji,FJ,adb,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
"Hong Kong, China",HK,adb,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
India,IN,adb,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
Indonesia,ID,adb,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
Japan,JP,adb,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
Kazakhstan,KZ,adb,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
Kyrgyz Republic,KG,adb,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
Lao PDR,LA,adb,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
Malaysia,MY,adb,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
Maldives,MV,adb,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
Mongolia,MN,adb,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
Nepal,NP,adb,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
Pakistan,PK,adb,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
Philippines,PH,adb,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
People's Republic of China,CN,adb,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
Republic of Korea,KR,adb,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
Singapore,SG,adb,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
Sri Lanka,LK,adb,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
"Taipei,China",TW,adb,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
Thailand,TH,adb,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
Viet Nam,VN,adb,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
