location_from,location_to,classification_from,classification_to,comment,skos_uri
0660,AF,geonumeric,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
0070,AL,geonumeric,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
0208,DZ,geonumeric,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
0830,AS,geonumeric,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
0043,AD,geonumeric,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
0330,AO,geonumeric,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
0446,AI,geonumeric,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
0891,AQ,geonumeric,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
0459,AG,geonumeric,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
0528,AR,geonumeric,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
0077,AM,geonumeric,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
0474,AW,geonumeric,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
0800,AU,geonumeric,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
0038,AT,geonumeric,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
0078,AZ,geonumeric,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
0453,BS,geonumeric,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
0640,BH,geonumeric,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
0666,BD,geonumeric,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
0469,BB,geonumeric,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
0073,BY,geonumeric,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
0017,BE,geonumeric,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
