location_from,location_to,classification_from,classification_to,comment,skos_uri
AF,WA,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
AX,WE,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
AL,WE,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
DZ,WF,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
AS,WA,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
AD,WE,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
AO,WF,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
AI,WL,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
AQ,WA,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
AG,WL,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
AR,WL,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
AM,WA,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
AW,WL,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
AU,AU,bonsai,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AT,AT,bonsai,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AZ,WA,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
BS,WL,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
BH,WM,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
BD,WA,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
BB,WL,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
BY,WE,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
BE,BE,bonsai,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BZ,WL,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
BJ,WF,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
BM,WL,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
BT,WA,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
BO,WL,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
BQ,WL,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
BA,WE,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
BW,WF,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
BV,WA,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
BR,BR,bonsai,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
IO,WA,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
VG,WL,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
BN,WA,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
BG,BG,bonsai,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BF,WF,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
BI,WF,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
CV,WF,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
KH,WA,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
CM,WF,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
CA,CA,bonsai,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
KY,WL,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
CF,WF,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
TD,WF,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
CL,WL,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
CN,CN,bonsai,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
CX,WA,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
CC,WA,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
CO,WL,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
KM,WF,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
CG,WF,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
CK,WA,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
CR,WL,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
CI,WF,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
HR,HR,bonsai,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
CU,WL,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
CW,WL,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
CY,CY,bonsai,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
CZ,CZ,bonsai,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
DK,DK,bonsai,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
DJ,WF,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
DM,WL,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
DO,WL,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
CD,WF,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
EC,WL,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
EG,WM,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
SV,WL,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
GQ,WF,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
ER,WF,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
EE,EE,bonsai,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
SZ,WF,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
ET,WF,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
FO,WE,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
FK,WL,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
FJ,WA,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
FI,FI,bonsai,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
FR,FR,bonsai,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
GF,WL,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
PF,WA,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
TF,WF,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
GA,WF,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
GM,WF,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
GE,WA,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
DE,DE,bonsai,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
GH,WF,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
GI,WE,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
GR,GR,bonsai,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
GL,WL,bonsai,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
