No. ,Group,Value
1,215,3.5
2,215,3.7
3,215,3.0
4,215,3.0
5,215,6.0
6,215,2.4
7,215,5.5
8,215,1.7
9,215,3.0
10,215,3.2
11,215,7.3
12,215,4.9
13,215,4.5
14,215,3.0
15,215,4.0
16,215,2.0
17,215,4.4
18,215,2.0
19,215,0.9
20,215,3.5
21,215,6.0
22,215,6.0
23,215,1.0
24,215,0.4
25,215,2.0
26,215,2.0
27,215,7.0
28,215,5.6
29,215,2.4
30,215,5.0
1,366,12.5
2,366,11.0
3,366,11.0
4,366,11.0
5,366,10.0
6,366,11.0
7,366,14.5
8,366,4.5
9,366,12.0
10,366,8.7
11,366,9.8
12,366,11.6
13,366,12.5
14,366,14.0
15,366,13.0
16,366,12.0
17,366,8.2
18,366,10.5
19,366,11.6
20,366,11.7
21,366,10.0
22,366,10.0
23,366,11.1
24,366,11.3
25,366,15.0
26,366,13.0
27,366,10.0
28,366,10.8
29,366,11.0
30,366,13.0
1,498,14.0
2,498,14.5
3,498,15.0
4,498,15.0
5,498,13.5
6,498,14.0
7,498,15.0
8,498,13.1
9,498,15.0
10,498,11.5
11,498,12.0
12,498,15.0
13,498,15.0
14,498,15.0
15,498,15.0
16,498,15.0
17,498,13.5
18,498,13.1
19,498,14.0
20,498,13.9
21,498,13.5
22,498,13.5
23,498,12.5
24,498,13.4
25,498,15.0
26,498,15.0
27,498,14.0
28,498,14.5
29,498,14.0
30,498,15.0
1,649,5.0
2,649,6.0
3,649,5.0
4,649,5.0
5,649,7.0
6,649,7.0
7,649,8.4
8,649,2.3
9,649,4.0
10,649,4.5
11,649,6.2
12,649,3.6
13,649,5.0
14,649,4.0
15,649,5.0
16,649,8.0
17,649,7.8
18,649,4.1
19,649,7.6
20,649,4.9
21,649,7.0
22,649,7.0
23,649,6.8
24,649,6.7
25,649,5.0
26,649,8.0
27,649,8.0
28,649,4.7
29,649,7.0
30,649,7.0
1,781,6.0
2,781,7.0
3,781,7.9
4,781,8.0
5,781,4.0
6,781,3.6
7,781,6.3
8,781,0.5
9,781,6.0
10,781,6.2
11,781,5.1
12,781,3.0
13,781,4.5
14,781,3.5
15,781,3.5
16,781,3.0
17,781,9.5
18,781,5.3
19,781,0.3
20,781,4.2
21,781,4.0
22,781,4.0
23,781,4.3
24,781,2.0
25,781,3.0
26,781,7.0
27,781,3.0
28,781,4.8
29,781,3.6
30,781,9.0
1,932,1.0
2,932,1.0
3,932,1.2
4,932,1.0
5,932,0.5
6,932,0.1
7,932,1.0
8,932,0.2
9,932,1.0
10,932,0.5
11,932,2.3
12,932,1.6
13,932,1.5
14,932,0.0
15,932,1.5
16,932,1.0
17,932,5.0
18,932,1.5
19,932,0.0
20,932,0.1
21,932,0.5
22,932,0.5
23,932,0.3
24,932,0.1
25,932,1.0
26,932,1.0
27,932,0.0
28,932,1.4
29,932,0.1
30,932,1.0
