location_from,location_to,classification_from,classification_to,comment,skos_uri
AF,AF,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AX,AX,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AL,AL,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
DZ,DZ,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AS,AS,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AD,AD,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AO,AO,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AI,AI,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AQ,AQ,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AG,AG,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AR,AR,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AM,AM,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AW,AW,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AU,AU,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AT,AT,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AZ,AZ,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BS,BS,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BH,BH,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BD,BD,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BB,BB,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BY,BY,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BE,BE,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BZ,BZ,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BJ,BJ,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BM,BM,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BT,BT,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BO,BO,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BQ,BQ,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BA,BA,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BW,BW,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BR,BR,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
IO,IO,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BN,BN,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BG,BG,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BF,BF,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BI,BI,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
KH,KH,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
CM,CM,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
CA,CA,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
CV,CV,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
KY,KY,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
CF,CF,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
TD,TD,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
CL,CL,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
CN,CN,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
CX,CX,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
CC,CC,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
CO,CO,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
KM,KM,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
CG,CG,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
CD,CD,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
CK,CK,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
CR,CR,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
CI,CI,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
HR,HR,ipcc,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
