location_from,location_to,classification_from,classification_to,comment,skos_uri
world,world,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AF,004,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AX,248,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AL,008,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
DZ,012,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AS,016,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AD,020,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AO,024,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AI,660,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AQ,010,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AG,028,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AR,032,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AM,051,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AW,533,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AU,036,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AT,040,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AZ,031,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BS,044,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BH,048,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BD,050,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BB,052,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BY,112,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BE,056,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BZ,084,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BJ,204,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BM,060,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BT,064,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BO,068,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BQ,535,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BA,070,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BW,072,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BR,076,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
IO,086,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BN,096,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BG,100,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BF,854,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BI,108,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
KH,116,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
CM,120,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
CA,124,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
CV,132,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
KY,136,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
CF,140,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
TD,148,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
CL,152,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
CN,156,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
CX,162,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
CC,166,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
CO,170,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
KM,174,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
CG,178,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
CD,180,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
CK,184,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
CR,188,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
CI,384,bonsai,iso_3166_1_numeric,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
