Montmorillonite-Lc-MgK,4,1.66,0,0,0.34,0.34,0,0,0
Montmorillonite-Lc-MgNa,4,1.66,0,0,0.34,0,0.34,0,0
Montmorillonite-Lc-MgCa,4,1.66,0,0,0.34,0,0,0.17,0
Montmorillonite-Lc-MgMg,4,1.66,0,0,0.51,0,0,0,0
Montmorillonite-Hc-K,4,1.4,0,0,0.6,0.6,0,0,0
Montmorillonite-Hc-Na,4,1.4,0,0,0.6,0,0.6,0,0
Montmorillonite-Hc-Ca,4,1.4,0,0,0.6,0,0,0.3,0
Montmorillonite-Hc-Mg,4,1.4,0,0,0.9,0,0,0,0
Saponite-K,3.66,0.34,0,0,3,0.34,0,0,0
Saponite-Na,3.66,0.34,0,0,3,0,0.34,0,0
Saponite-Ca,3.66,0.34,0,0,3,0,0,0.17,0
Saponite-Mg,3.66,0.34,0,0,3.17,0,0,0,0
Saponite-FeK,3.66,0.34,0,1,2,0.34,0,0,0
Saponite-FeNa,3.66,0.34,0,1,2,0,0.34,0,0
Saponite-FeCa,3.66,0.34,0,1,2,0,0,0.17,0
Saponite-FeMg,3.66,0.34,0,1,2.17,0,0,0,0
Nontronite-K,3.66,0.67,1.67,0,0,0.34,0,0,0
Nontronite-Na,3.66,0.67,1.67,0,0,0,0.34,0,0
Nontronite-Ca,3.66,0.67,1.67,0,0,0,0,0.17,0
Nontronite-Mg,3.66,0.67,1.67,0,0.17,0,0,0,0
Beidellite-K,3.66,2.34,0,0,0,0.34,0,0,0
Beidellite-Na,3.66,2.34,0,0,0,0,0.34,0,0
Beidellite-Ca,3.66,2.34,0,0,0,0,0,0.17,0
Beidellite-Mg,3.66,2.34,0,0,0.17,0,0,0,0
Illite-Mg,3.4,2.35,0,0,0.25,0.85,0,0,0
Illite-FeII,3.4,2.35,0,0.25,0,0.85,0,0,0
Illite-FeIII,3.15,2.6,0.25,0,0,0.85,0,0,0
Illite-Al,3.15,2.85,0,0,0,0.85,0,0,0
Vermiculite-K,3.14,0.86,0,0,3,0.86,0,0,0
Vermiculite-Na,3.14,0.86,0,0,3,0,0.86,0,0
Vermiculite-Ca,3.14,0.86,0,0,3,0,0,0.43,0
Vermiculite-Mg,3.14,0.86,0,0,3.43,0,0,0,0
Berthierine-FeIII,1.34,0.99,0.33,2.34,0,0,0,0,0
Berthierine-FeII,1,2,0,2,0,0,0,0,0
Glauconite,3.75,0.5,1.25,0.25,0.25,0.75,0,0,0
Amesite,2,4,0,0,4,0,0,0,0 
Lizardite,2,0,0,0,3,0,0,0,0           
Clinochlore,3,2,0,0,5,0,0,0,0        
Chamosite,3,2,0,5,0,0,0,0,0           
Greenalite,2,0,0,3,0,0,0,0,0          
Minnesotaite,4,0,0,3,0,0,0,0,0       
Talc,4,0,0,0,3,0,0,0,0                
