AA	5
RA	-2
NA	-1
DA	-2
CA	-1
QA	-1
EA	-1
GA	0
HA	-2
IA	-1
LA	-1
KA	-1
MA	-1
FA	-2
PA	-1
SA	1
TA	0
WA	-2
YA	-2
VA	0
BA	-1
JA	-1
ZA	-1
XA	-1
AR	-2
RR	7
NR	0
DR	-1
CR	-3
QR	1
ER	0
GR	-2
HR	0
IR	-3
LR	-2
KR	3
MR	-1
FR	-2
PR	-2
SR	-1
TR	-1
WR	-2
YR	-1
VR	-2
BR	-1
JR	-3
ZR	1
XR	-1
AN	-1
RN	0
NN	6
DN	2
CN	-2
QN	0
EN	0
GN	0
HN	1
IN	-2
LN	-3
KN	0
MN	-2
FN	-2
PN	-2
SN	1
TN	0
WN	-4
YN	-2
VN	-3
BN	5
JN	-3
ZN	0
XN	-1
AD	-2
RD	-1
ND	2
DD	7
CD	-3
QD	0
ED	2
GD	-1
HD	0
ID	-4
LD	-3
KD	0
MD	-3
FD	-4
PD	-1
SD	0
TD	-1
WD	-4
YD	-2
VD	-3
BD	6
JD	-3
ZD	1
XD	-1
AC	-1
RC	-3
NC	-2
DC	-3
CC	12
QC	-3
EC	-3
GC	-3
HC	-3
IC	-3
LC	-2
KC	-3
MC	-2
FC	-2
PC	-4
SC	-1
TC	-1
WC	-5
YC	-3
VC	-1
BC	-2
JC	-2
ZC	-3
XC	-1
AQ	-1
RQ	1
NQ	0
DQ	0
CQ	-3
QQ	6
EQ	2
GQ	-2
HQ	1
IQ	-2
LQ	-2
KQ	1
MQ	0
FQ	-4
PQ	-1
SQ	0
TQ	-1
WQ	-2
YQ	-1
VQ	-3
BQ	0
JQ	-2
ZQ	4
XQ	-1
AE	-1
RE	0
NE	0
DE	2
CE	-3
QE	2
EE	6
GE	-2
HE	0
IE	-3
LE	-2
KE	1
ME	-2
FE	-3
PE	0
SE	0
TE	-1
WE	-3
YE	-2
VE	-3
BE	1
JE	-3
ZE	5
XE	-1
AG	0
RG	-2
NG	0
DG	-1
CG	-3
QG	-2
EG	-2
GG	7
HG	-2
IG	-4
LG	-3
KG	-2
MG	-2
FG	-3
PG	-2
SG	0
TG	-2
WG	-2
YG	-3
VG	-3
BG	-1
JG	-4
ZG	-2
XG	-1
AH	-2
RH	0
NH	1
DH	0
CH	-3
QH	1
EH	0
GH	-2
HH	10
IH	-3
LH	-2
KH	-1
MH	0
FH	-2
PH	-2
SH	-1
TH	-2
WH	-3
YH	2
VH	-3
BH	0
JH	-2
ZH	0
XH	-1
AI	-1
RI	-3
NI	-2
DI	-4
CI	-3
QI	-2
EI	-3
GI	-4
HI	-3
II	5
LI	2
KI	-3
MI	2
FI	0
PI	-2
SI	-2
TI	-1
WI	-2
YI	0
VI	3
BI	-3
JI	4
ZI	-3
XI	-1
AL	-1
RL	-2
NL	-3
DL	-3
CL	-2
QL	-2
EL	-2
GL	-3
HL	-2
IL	2
LL	5
KL	-3
ML	2
FL	1
PL	-3
SL	-3
TL	-1
WL	-2
YL	0
VL	1
BL	-3
JL	4
ZL	-2
XL	-1
AK	-1
RK	3
NK	0
DK	0
CK	-3
QK	1
EK	1
GK	-2
HK	-1
IK	-3
LK	-3
KK	5
MK	-1
FK	-3
PK	-1
SK	-1
TK	-1
WK	-2
YK	-1
VK	-2
BK	0
JK	-3
ZK	1
XK	-1
AM	-1
RM	-1
NM	-2
DM	-3
CM	-2
QM	0
EM	-2
GM	-2
HM	0
IM	2
LM	2
KM	-1
MM	6
FM	0
PM	-2
SM	-2
TM	-1
WM	-2
YM	0
VM	1
BM	-2
JM	2
ZM	-1
XM	-1
AF	-2
RF	-2
NF	-2
DF	-4
CF	-2
QF	-4
EF	-3
GF	-3
HF	-2
IF	0
LF	1
KF	-3
MF	0
FF	8
PF	-3
SF	-2
TF	-1
WF	1
YF	3
VF	0
BF	-3
JF	1
ZF	-3
XF	-1
AP	-1
RP	-2
NP	-2
DP	-1
CP	-4
QP	-1
EP	0
GP	-2
HP	-2
IP	-2
LP	-3
KP	-1
MP	-2
FP	-3
PP	9
SP	-1
TP	-1
WP	-3
YP	-3
VP	-3
BP	-2
JP	-3
ZP	-1
XP	-1
AS	1
RS	-1
NS	1
DS	0
CS	-1
QS	0
ES	0
GS	0
HS	-1
IS	-2
LS	-3
KS	-1
MS	-2
FS	-2
PS	-1
SS	4
TS	2
WS	-4
YS	-2
VS	-1
BS	0
JS	-2
ZS	0
XS	-1
AT	0
RT	-1
NT	0
DT	-1
CT	-1
QT	-1
ET	-1
GT	-2
HT	-2
IT	-1
LT	-1
KT	-1
MT	-1
FT	-1
PT	-1
ST	2
TT	5
WT	-3
YT	-1
VT	0
BT	0
JT	-1
ZT	-1
XT	-1
AW	-2
RW	-2
NW	-4
DW	-4
CW	-5
QW	-2
EW	-3
GW	-2
HW	-3
IW	-2
LW	-2
KW	-2
MW	-2
FW	1
PW	-3
SW	-4
TW	-3
WW	15
YW	3
VW	-3
BW	-4
JW	-2
ZW	-2
XW	-1
AY	-2
RY	-1
NY	-2
DY	-2
CY	-3
QY	-1
EY	-2
GY	-3
HY	2
IY	0
LY	0
KY	-1
MY	0
FY	3
PY	-3
SY	-2
TY	-1
WY	3
YY	8
VY	-1
BY	-2
JY	0
ZY	-2
XY	-1
AV	0
RV	-2
NV	-3
DV	-3
CV	-1
QV	-3
EV	-3
GV	-3
HV	-3
IV	3
LV	1
KV	-2
MV	1
FV	0
PV	-3
SV	-1
TV	0
WV	-3
YV	-1
VV	5
BV	-3
JV	2
ZV	-3
XV	-1
AB	-1
RB	-1
NB	5
DB	6
CB	-2
QB	0
EB	1
GB	-1
HB	0
IB	-3
LB	-3
KB	0
MB	-2
FB	-3
PB	-2
SB	0
TB	0
WB	-4
YB	-2
VB	-3
BB	5
JB	-3
ZB	1
XB	-1
AJ	-1
RJ	-3
NJ	-3
DJ	-3
CJ	-2
QJ	-2
EJ	-3
GJ	-4
HJ	-2
IJ	4
LJ	4
KJ	-3
MJ	2
FJ	1
PJ	-3
SJ	-2
TJ	-1
WJ	-2
YJ	0
VJ	2
BJ	-3
JJ	4
ZJ	-2
XJ	-1
AZ	-1
RZ	1
NZ	0
DZ	1
CZ	-3
QZ	4
EZ	5
GZ	-2
HZ	0
IZ	-3
LZ	-2
KZ	1
MZ	-1
FZ	-3
PZ	-1
SZ	0
TZ	-1
WZ	-2
YZ	-2
VZ	-3
BZ	1
JZ	-2
ZZ	5
XZ	-1
AX	-1
RX	-1
NX	-1
DX	-1
CX	-1
QX	-1
EX	-1
GX	-1
HX	-1
IX	-1
LX	-1
KX	-1
MX	-1
FX	-1
PX	-1
SX	-1
TX	-1
WX	-1
YX	-1
VX	-1
BX	-1
JX	-1
ZX	-1
XX	-1
