ollama, qwen2.5-coder:3b, naive, 2.52, 0.04, 2.48
ollama, qwen2.5-coder:3b, hybrid, 0.0, 0.0, 0.0
ollama, qwen2.5-coder:3b, local, 2.16, 0.05, 2.11
ollama, qwen2.5-coder:3b, global, 0.0, 0.0, 0.0
ollama, qwen2.5-coder:16b, naive, 0.0, 0.0, 0.0
ollama, qwen2.5-coder:16b, hybrid, 0.0, 0.0, 0.0
ollama, qwen2.5-coder:16b, local, 0.0, 0.0, 0.0
ollama, qwen2.5-coder:16b, global, 0.0, 0.0, 0.0
ollama, qwen2.5-coder:32b, naive, 14.18, 0.04, 14.14
ollama, qwen2.5-coder:32b, hybrid, 25.44, 6.82, 18.62
ollama, qwen2.5-coder:32b, local, 15.11, 0.06, 15.05
ollama, qwen2.5-coder:32b, global, 16.93, 0.06, 16.87
ollama, o7, naive, 12.25, 0.05, 12.2
ollama, o7, hybrid, 8.6, 1.62, 6.98
ollama, o7, local, 6.57, 0.06, 6.51
ollama, o7, global, 4.62, 0.06, 4.56
ollama, o14, naive, 11.96, 0.06, 11.9
ollama, o14, hybrid, 21.18, 3.0, 18.18
ollama, o14, local, 14.73, 0.05, 14.68
ollama, o14, global, 11.87, 0.06, 11.81
ollama, phi4, naive, 12.81, 0.06, 12.75
ollama, phi4, hybrid, 23.63, 8.89, 14.74
ollama, phi4, local, 14.97, 0.06, 14.91
ollama, phi4, global, 17.21, 0.06, 17.15
ollama, deepseek-coder-v2:16b, naive, 6.87, 0.06, 6.81
ollama, deepseek-coder-v2:16b, hybrid, 0.0, 0.0, 0.0
ollama, deepseek-coder-v2:16b, local, 0.0, 0.0, 0.0
ollama, deepseek-coder-v2:16b, global, 9.94, 0.04, 9.9
ollama, gemma3:4b, naive, 3.27, 0.07, 3.2
ollama, gemma3:4b, hybrid, 6.7, 1.4, 5.3
ollama, gemma3:4b, local, 4.44, 0.05, 4.39
ollama, gemma3:4b, global, 4.26, 0.07, 4.19
ollama, gemma3:12b, naive, 10.08, 0.06, 10.02
ollama, gemma3:12b, hybrid, 14.26, 3.08, 11.18
ollama, gemma3:12b, local, 7.84, 0.06, 7.78
ollama, gemma3:12b, global, 10.92, 0.06, 10.86
ollama, gemma3:27b, naive, 19.0, 0.06, 18.94
ollama, gemma3:27b, hybrid, 22.31, 7.36, 14.95
ollama, gemma3:27b, local, 11.32, 0.06, 11.26
ollama, gemma3:27b, global, 12.74, 0.07, 12.67
ollama, llama3.3, naive, 82.8, 0.07, 82.73
ollama, llama3.3, hybrid, 182.96, 56.46, 126.5
ollama, llama3.3, local, 119.85, 0.19, 119.66
ollama, llama3.3, global, 105.74, 0.12, 105.62
ollama, llama3.2, naive, 5.08, 0.13, 4.95
ollama, llama3.2, hybrid, 0.0, 0.0, 0.0
ollama, llama3.2, local, 0.0, 0.0, 0.0
ollama, llama3.2, global, 5.28, 0.05, 5.23
ollama, llama3.1, naive, 5.66, 0.06, 5.6
ollama, llama3.1, hybrid, 8.27, 2.65, 5.62
ollama, llama3.1, local, 4.84, 0.06, 4.78
ollama, llama3.1, global, 6.7, 0.06, 6.64
ollama, qwen2.5:7b, naive, 4.36, 0.06, 4.3
ollama, qwen2.5:7b, hybrid, 8.62, 1.65, 6.97
ollama, qwen2.5:7b, local, 6.61, 0.05, 6.56
ollama, qwen2.5:7b, global, 4.66, 0.05, 4.61
ollama, qwen2.5:14b, naive, 9.24, 0.06, 9.18
ollama, qwen2.5:14b, hybrid, 21.07, 2.93, 18.14
ollama, qwen2.5:14b, local, 14.45, 0.06, 14.39
ollama, qwen2.5:14b, global, 11.69, 0.06, 11.63
ollama, qwq, naive, 41.35, 0.06, 41.29
ollama, qwq, hybrid, 155.66, 64.11, 91.55
ollama, qwq, local, 79.14, 0.06, 79.08
ollama, qwq, global, 62.42, 0.06, 62.36
