activitytype_from,flowobject_from,activitytype_to,flowobject_to,classification_from,classification_to,accounttype,comment,skos_uri
,fi_34651,,"Ammonia, anhydrous, 100%",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_34613,,"Ammonium nitrate, all grades",bonsai,statcan_chemicals,supply,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
,fi_34642,,"Ammonium phosphate, all grades",bonsai,statcan_chemicals,supply,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch
,fi_34643,,"Ammonium phosphate, all grades",bonsai,statcan_chemicals,supply,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch
,fi_34642,,"Ammonium phosphate",bonsai,statcan_chemicals,supply,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch
,fi_34643,,"Ammonium phosphate",bonsai,statcan_chemicals,supply,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch
,fi_34612,,"Ammonium sulphate",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_34613,,"Ammonium nitrate",bonsai,statcan_chemicals,supply,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
,fi_3105_51,,"Ammonium nitrate phosphate, all grades",bonsai,statcan_chemicals,supply,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
,fi_3105_59,,"Ammonium nitrate phosphate, all grades",bonsai,statcan_chemicals,supply,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
,fi_2833_22,,"Aluminum sulphate (alum)",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2707_10,,"Benzene",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2801_10,,"Chlorine",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2901_21,,"Ethylene",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2912_11,,"Formaldehyde, 100% solids basis",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_34710,,"Polyethylene, total",bonsai,statcan_chemicals,supply,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
,fi_34710,,"Polyethylene resins, total",bonsai,statcan_chemicals,supply,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
,fi_3901_10,,"Polyethylene, low and linear low density",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_3901_20,,"Polyethylene, high density",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_34720,,"Polystyrene and acrylonitrile-butadiene-styrene (abs)",bonsai,statcan_chemicals,supply,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
,fi_34720,,"Polystyrene (PS) resins and Acrylonitrile-butadiene-styrene (ABS) resins",bonsai,statcan_chemicals,supply,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
,fi_34730,,"Polyvinyl chloride (PVC) resins",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_34740,,"Thermosetting unsaturated polyester (UPR) resins",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_3909_10,,"Urea, all grades",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_34611,,"Urea",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_34232,,"Phosphoric acid, wet process",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2901_24,,"Butadiene",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2901_23,,"Butylene",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2901_22,,"Propylene, as propylene in all grades",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2902_50,,"Styrene monomer",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2707_20,,"Toluene",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2707_30,,"Xylene",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2905_11,,"Methyl alcohol (methanol)",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_34233,,"Nitric acid, 100 %",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2803_00,,"Carbon black",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2847_00,,"Hydrogen peroxide, 100%",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2817_00,,"Zinc oxide",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2910_10,,"Ethylene oxide",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_3907_91,,"Polyesters, unsaturated",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2806_10,,"Hydrochloric (muriatic) acid, 100%",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2807_00,,"Sulphuric acid, all grades, including oleum, as 100%",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2829_11,,"Sodium chlorate",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_34231,,"Sodium hydroxide (caustic soda), as 100% NaOH",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_43911,,"Acetylene in cylinders or for delivery by pipeline",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_3464,,"Fertilizers, mixed",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2804_40,,"Oxygen, gas and liquid in cylinders or by delivery",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2914_11,,"Acetone",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2905_12,,"Alcohol propyl, ISO",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_3480,,"Production of synthetic rubber",bonsai,statcan_chemicals,supply,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
,fi_4002_11,,"Butadiene, styrene solid",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_4002_19,,"Butadiene, styrene latex",bonsai,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_4002_51,,"Butadiene, acrylonitrile",bonsai,statcan_chemicals,supply,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
,fi_4002_59,,"Butadiene, acrylonitrile",bonsai,statcan_chemicals,supply,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
,fi_4002_41,,"Polychloroprene",bonsai,statcan_chemicals,supply,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
