name,schema_name,created_by,data_version,location,url,comment
concpair_bonsai_iea_energy_balance,FlowObjectCorrespondence,"Albert K. Osei-Owusu, Maik Budzinski",v1.0.0,concpair_bonsai_iea_energy_balance.csv,,pairwise concocordance table to map to bonsai codes to iea energy balance codes
concpair_bonsai_undata_energy_stats,FlowObjectCorrespondence,"Albert K. Osei-Owusu, Maik Budzinski",v1.0.0,concpair_bonsai_undata_energy_stats.csv,,pairwise concocordance table to map to bonsai codes to undata energy stats codes
tree_adb_supplier,FlowObject,Sander van Nielen,v1.0.0,tree_adb_supplier.csv,,
tree_adb_user,FlowObject,Sander van Nielen,v1.0.0,tree_adb_user.csv,,
conc_adb_supplier_bonsai,FlowObjectCorrespondence,Sander van Nielen,v1.0.0,conc_adb_supplier_bonsai.csv,,
conc_adb_user_bonsai,FlowObjectCorrespondence,Sander van Nielen,v1.0.0,conc_adb_user_bonsai.csv,,
concpair_bonsai_statcan_chemicals,FlowObjectCorrespondence,"Albert K. Osei-Owusu, Maik Budzinski",v1.0.0,concpair_bonsai_statcan_chemicals.csv,,pairwise concordance between Bonsai master and statcan chemicals
