activitytype_from,flowobject_from,activitytype_to,flowobject_to,classification_from,classification_to,comment,skos_uri
ai_051_1,fi_11010_1,INDPROD,ANTCOAL,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_051_2,fi_11010_3,INDPROD,COKCOAL,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_051_3,fi_11010_2,INDPROD,BITCOAL,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_052_2,fi_11030_2,INDPROD,SUBCOAL,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_052_1,fi_11030_1,INDPROD,LIGNITE,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_051_4,fi_11020,INDPROD,PATFUEL,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_1910,fi_33100,INDPROD,OVENCOKE,bonsai,iea_energy_balance,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
ai_1910_4,fi_33429_2,INDPROD,GASCOKE,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_0610_2,fi_33200,INDPROD,COALTAR,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_1920_3,fi_11040,INDPROD,BKB,bonsai,iea_energy_balance,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
ai_3520_2,fi_17200_3,INDPROD,GASWKSGS,bonsai,iea_energy_balance,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
ai_1910_3,fi_33429_1,INDPROD,COKEOVGS,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_2410_1,fi_17200_1,INDPROD,BLFURGS,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_2410_2,fi_17200_2,INDPROD,OGASES,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_0892,fi_11050,INDPROD,PEAT,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_1920_3,fi_11040,INDPROD,PEATPROD,bonsai,iea_energy_balance,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
ai_0610_1,fi_1201,INDPROD,OILSHALE,bonsai,iea_energy_balance,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
ai_0620,fi_2711_21,INDPROD,NATGAS,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_0610_1,fi_1201,INDPROD,CRUDEOIL,bonsai,iea_energy_balance,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
ai_1920_6,fi_2711_11,INDPROD,NGL,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_1920_22,fi_33370_1,INDPROD,REFFEEDS,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_2029_01,fi_35430,INDPROD,ADDITIVE,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_2011_07_01,fi_17200_5,INDPROD,NONCRUDE,bonsai,iea_energy_balance,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
ai_1920_16,fi_33429_4,INDPROD,REFINGAS,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_1920_17,fi_33429_5,INDPROD,ETHANE,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_1920_4,fi_33429_3,INDPROD,LPG,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_1920_10,fi_3331_1,INDPROD,NONBIOGASO,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_1920_11,fi_3331_2,INDPROD,AVGAS,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_1920_8,fi_33320,INDPROD,JETGAS,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_1920_9,fi_3334_1,INDPROD,NONBIOJETK,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
