flowobject_from,flowobject_to,classification_from,classification_to,comment,skos_uri
15,C_Wheat,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
16,C_Flour_whea,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
17,C_Bran_ whe,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
18,C_Macai,fcl,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
19,C_Germt,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
20,C_Bread,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
21,C_Macai,fcl,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
22,C_Pasty,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
23,C_Starch_whea,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
24,C_Gluten_wht,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
27,C_Ricey,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
28,C_Rice_husk,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
29,C_Rice_milhusk,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
31,C_Rice_mill,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
32,C_Rice_brok,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
33,C_Gluten_rice,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
34,C_Starch_rice,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
35,C_Bran_ ric,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
36,C_Oil_rice,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
37,C_Ckriceb,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
38,C_Flour_rice,fcl,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
39,C_Bev_ferm,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
41,C_Cer_brkf,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
44,C_Barly,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
45,C_Barlt,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
46,C_Barld,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
47,C_Bran_ bar,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
48,C_Flour_barl,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
49,C_Maltt,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
50,C_Malt_ext,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
51,C_Beer_barl,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
56,C_Maize,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
57,C_Germe,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
58,C_Flour_maiz,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
59,C_Bran_ mai,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
60,C_Oil_maiz,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
61,C_Ckmaize,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
63,C_Gluten_mais,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
64,C_Starch_maiz,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
66,C_Beer_millet,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
71,C_Ryee,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
72,C_Flour_rye,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
73,C_Bran_ rye,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
75,C_Oatss,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
76,C_Oatsd,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
77,C_Bran_ oat,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
79,C_Millt,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
80,C_Flour_mill,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
81,C_Bran_ mil,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
82,C_Beer_maiz,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
83,C_Sorgm,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
84,C_Flour_sorg,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
85,C_Bran_ sor,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
86,C_Beer_sorg,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
89,C_Buckt,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
90,C_Flour_buck,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
91,C_Bran_ buc,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
92,C_Quina,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
94,C_Fonio,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
95,C_Flour_foni,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
96,C_Bran_ fon,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
97,C_Trite,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
98,C_Flour_trit,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
99,C_Bran_ tri,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
101,C_Canad,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
103,C_Graid,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
104,C_Flour_mixe,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
105,C_Bran_ mix,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
108,C_Ceres,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
110,C_Wafes,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
111,C_Flou_nes,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
112,C_Bran_ cer,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
113,C_Cer_prep,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
114,C_Mixes,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
116,C_Potas,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
118,C_Potan,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
119,C_Starch_pota,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
121,C_Tapis,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
122,C_Swees,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
125,C_Cassa,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
126,C_Flour_cass,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
127,C_Tapia,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
128,C_Cassd,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
129,C_Starch_cass,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
135,C_Yaut_amx,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
136,C_Taro,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
137,C_Yams,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
150,C_Flour_rice,fcl,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
154,C_Frucr,fcl,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
156,C_Sugae,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
157,C_Sugat,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
158,C_Sugar_nc,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
161,C_Sugacrs,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
162,C_Sugar_rc,fcl,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
163,C_Sugar_rc,fcl,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
165,C_Molas,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
166,C_Frucr,fcl,bonsut,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
167,C_Sugarn,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
168,C_Suga_ery,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
172,C_Gluce,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
173,C_Lacte,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
175,C_Isoge,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
176,C_Beany,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
181,C_Broay,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
187,C_Peasy,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
191,C_Chick,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
195,C_Cowpea,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
197,C_Piges,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
201,C_Lents,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
203,C_Bambs,fcl,bonsut,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
