flowobject_from,flowobject_to,classification_from,classification_to,comment,skos_uri
fi_15110,08114000,bonsai,prodcom_total_2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_15120,08111133,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15120,08111136,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15120,08111150,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15130,08111220,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15130,08111233,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15130,08111236,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15130,08111250,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15130,08111262,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15130,08111269,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15130,08111261,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15130,081112Z1,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15200,08112030,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15200,08112050,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15330,08991000,bonsai,prodcom_total_2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_15400,23991940,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fn_33,399900Z7,bonsai,prodcom_total_2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_15400,08122140,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15400,08122160,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15400,08122210,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15400,08122230,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15400,08122255,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15400,08122260,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15400,08122270,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15400,08122280,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_16120,08911220,bonsai,prodcom_total_2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_16190,08911910,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_16190,08911911,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fn_22,08911912,bonsai,prodcom_total_2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_16190,08911913,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_16190,08911919,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_16200,08931000,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_16200,10843000,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_16310,08992110,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_16310,08992120,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_16320,08992220,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_16320,08992230,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_16320,08992210,bonsai,prodcom_total_2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
