name,schema_name,location,created_by,data_version,url,comment
tree_compartment,Compartment,tree_compartment.csv,Maik Budzinski,v1.0.0,,flow compartments used in Bonsai
dim_level,Level,dim_level.csv,Maik Budzinski,v1.0.0,,levels of the classification codes
dim_lcia,LCIA,dim_lcia.csv,Maik Budzinski,v1.0.0,,Life Cycle Impact Assessment Categories
tree_bonsai,FlowObject,tree_bonsai.csv,Maik Budzinski,v1.0.0,,Flow Objects of Bonsai
tree_cpc_2_1,FlowObject,tree_cpc_2_1.csv,Maik Budzinski,v1.0.0,https://unstats.un.org/unsd/classifications/Econ/cpc,Central Product Classification (CPH)
tree_ewc_stat_4,FlowObject,tree_ewc_stat_4.csv,Maik Budzinski,v1.0.0,https://ec.europa.eu/eurostat/ramon/other_documents/ewc_stat_4/index.cfm?TargetUrl=DSP_EWC_STAT_4,EWC-STAT 4 European Waste Classification for Statistics
tree_hexio_v_3_3_18,FlowObject,tree_hexio_v_3_3_18.csv,Maik Budzinski,v1.0.0,https://zenodo.org/records/13449634,Exiobase hybrid v3.3.18 codes
tree_undata_ics,FlowObject,tree_undata_ics.csv,Albert K. Osei-Owusu,v1.0.0,https://stat.unido.org/unido-data-portal-api,United Nations Industrial Commodity Statistics (ICS)
tree_iea_energy_balance,FlowObject,tree_iea_energy_balance.csv,Albert K. Osei-Owusu,v1.0.0,https://wds.iea.org/wds/pdf/worldbal_documentation.pdf,IEA World energy balance classification
tree_prodcom_sold_2_0,FlowObject,tree_prodcom_sold_2_0.csv,Albert K. Osei-Owusu,v1.0.0,https://ec.europa.eu/eurostat/cache/metadata/en/prom_esms.htm,"Statistics on the Sold production, exports and imports of manufactured goods (ds-056120)"
tree_prodcom_total_2_0,FlowObject,tree_prodcom_total_2_0.csv,Albert K. Osei-Owusu,v1.0.0,https://ec.europa.eu/eurostat/cache/metadata/en/prom_esms.htm,"Statistics on the production of manufactured goods (ds-056121)"
tree_statcan_chemicals,FlowObject,tree_statcan_chemicals.csv,Albert K. Osei-Owusu,v1.0.0,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610003301,"Industrial chemical and synthetic resins production, annual"
tree_undata_energy_stats,FlowObject,tree_undata_energy_stats.csv,Albert K. Osei-Owusu,v1.0.0,https://unstats.un.org/unsd/energystats/api/;https://unstats.un.org/unsd/energystats/pubs/balance/2021/03.pdf,UN energy statistics
tree_unfccc_prodvol,FlowObject,tree_unfccc_prodvol.csv,Albert K. Osei-Owusu,v1.0.0,https://zenodo.org/records/12664477,UNFCCC production volume
tree_ecoinvent_v3_6,FlowObject,tree_ecoinvent_v3_6.csv,Maik Budzinski,v1.0.0,https://github.com/UNEP-Economy-Division/GLAD-ElementaryFlowResources/tree/master/Original%20Flowlists,activity overview for ecoinvent database - version 3.6
