name,schema_name,location,created_by,data_version,url,comment
dim_year,Year,dim_year.csv,Maik Budzinski,v1.0.0,,Considerred years in Bonsai
dim_calendar,Calendar,dim_calendar.csv,Maik Budzinski,v1.0.0,,Calendar types considerred in Bonsai
