id	cytotoxicity_strain	url
PS00125_contigs.fna.gz	PS00125	https://zenodo.org/records/17191086/files/PS00125_contigs.fna.gz
PS00193_contigs.fna.gz	PS00193	https://zenodo.org/records/17191086/files/PS00193_contigs.fna.gz
PS00433_contigs.fna.gz	PS00433	https://zenodo.org/records/17191086/files/PS00433_contigs.fna.gz
PS00518_contigs.fna.gz	PS00518	https://zenodo.org/records/17191086/files/PS00518_contigs.fna.gz
PS00194_GCA_002250945.fna.gz	PS00194	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/250/945/GCA_002250945.2_ASM225094v2/GCA_002250945.2_ASM225094v2_genomic.fna.gz
PS00649_GCA_029692665.fna.gz	PS00649	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/692/665/GCA_029692665.1_PDT001182332.3/GCA_029692665.1_PDT001182332.3_genomic.fna.gz
PS00402_GCA_029692905.fna.gz	PS00402	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/692/905/GCA_029692905.1_PDT001182164.3/GCA_029692905.1_PDT001182164.3_genomic.fna.gz
PS00536_GCA_029707305.fna.gz	PS00536	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/707/305/GCA_029707305.1_PDT001182311.1/GCA_029707305.1_PDT001182311.1_genomic.fna.gz
PS00407_GCA_029707665.fna.gz	PS00407	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/707/665/GCA_029707665.1_PDT001182306.1/GCA_029707665.1_PDT001182306.1_genomic.fna.gz
PS00564_GCA_029708055.fna.gz	PS00564	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/708/055/GCA_029708055.1_PDT001182281.1/GCA_029708055.1_PDT001182281.1_genomic.fna.gz
PS00570_GCA_029708175.fna.gz	PS00570	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/708/175/GCA_029708175.1_PDT001182276.1/GCA_029708175.1_PDT001182276.1_genomic.fna.gz
PS00413_GCA_029708935.fna.gz	PS00413	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/708/935/GCA_029708935.1_PDT001182229.1/GCA_029708935.1_PDT001182229.1_genomic.fna.gz
PS00457_GCA_029709435.fna.gz	PS00457	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/709/435/GCA_029709435.1_PDT001182183.1/GCA_029709435.1_PDT001182183.1_genomic.fna.gz
PS00638_GCA_029709695.fna.gz	PS00638	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/709/695/GCA_029709695.1_PDT001182166.1/GCA_029709695.1_PDT001182166.1_genomic.fna.gz
PS00495_GCA_029709855.fna.gz	PS00495	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/709/855/GCA_029709855.1_PDT001182150.1/GCA_029709855.1_PDT001182150.1_genomic.fna.gz
PS00474_GCA_029709995.fna.gz	PS00474	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/709/995/GCA_029709995.1_PDT001182171.1/GCA_029709995.1_PDT001182171.1_genomic.fna.gz
